tissue	sample	frag_path	workdir
breast_regner_2025_cell_lines	HCC1143	data/bgz/HCC1143_ATAC_fragments.fragments.tsv.gz	/working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/Regner_2025_celllines
breast_regner_2025_cell_lines	MCF7	data/bgz/MCF7_ATAC_fragments.fragments.tsv.gz	/working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/Regner_2025_celllines
breast_regner_2025_cell_lines	SUM149PT	data/bgz/SUM149PT_ATAC_fragments.fragments.tsv.gz	/working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/Regner_2025_celllines
breast_regner_2025_cell_lines    T47D    data/bgz/T47D_ATAC_fragments.fragments.tsv.gz	/working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/Regner_2025_celllines
breast_regner_2025_healthy  patient_1   frags/bgz/GSM7789985_Patient_1_49758L_ATAC_fragments.fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/Regner_2025_mammary
breast_regner_2025_healthy  patient_2   frags/bgz/GSM7789987_Patient_2_49CFCL_ATAC_fragments.fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/Regner_2025_mammary
breast_regner_2025_healthy  patient_3   frags/bgz/GSM7789989_Patient_3_4AF75L_ATAC_fragments.fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/Regner_2025_mammary
breast_regner_2025_healthy  patient_4   frags/bgz/GSM7789991_Patient_4_4B146L_ATAC_fragments.fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/Regner_2025_mammary
10XPBMC samp1   data/10k_PBMC_ATAC_nextgem_Chromium_Controller_fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/10xpbmc
10XPBMC samp2   data/10k_PBMC_ATAC_nextgem_Chromium_X_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/10xpbmc
10XPBMC samp3   data/10k_pbmc_ATACv1p1_nextgem_Chromium_X_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/10xpbmc
10XPBMC samp4   data/10k_pbmc_ATACv2_nextgem_Chromium_Controller_fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/10xpbmc
10XPBMC samp5   data/10k_pbmc_ATACv2_nextgem_Chromium_X_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/10xpbmc
kidney_wilson_2022_healthy  samp1   data/GSM4572187_Control1_fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/wilson_2022_kidney
kidney_wilson_2022_healthy  samp2   data/GSM4572188_Control2_fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/wilson_2022_kidney
kidney_wilson_2022_healthy  samp3   data/GSM4572187_Control3_fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/wilson_2022_kidney
kidney_wilson_2022_healthy  samp4   data/GSM4572187_Control4_fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/wilson_2022_kidney
kidney_wilson_2022_healthy  samp5   data/GSM4572187_Control5_fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/wilson_2022_kidney
kidney_wilson_2022_healthy  samp6   data/GSM4572187_Control6_fragments.tsv.gz   /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/wilson_2022_kidney
breast_HTAN_dcis    S1H3    HT339B1-S1H3-atac_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/dcis
scalp_reynolds_2023 AA1 data/bgz/GSM6532929_AA1_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
scalp_reynolds_2023 AA2 data/bgz/GSM6532930_AA2_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
scalp_reynolds_2023 AA4 data/bgz/GSM6532931_AA4_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
scalp_reynolds_2023 AA7 data/bgz/GSM6532932_AA7_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
scalp_reynolds_2023 C_PB2 data/bgz/GSM6532935_C_PB2_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
scalp_reynolds_2023 C_PB3 data/bgz/GSM6532936_C_PB3_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
scalp_reynolds_2023 SD1 data/bgz/GSM6532937_C_SD1_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
scalp_reynolds_2023 SD2 data/bgz/GSM6532938_C_SD2_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
scalp_reynolds_2023 SD3 data/bgz/GSM6532939_C_SD3_fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/reynolds_2023_scalp
ovary_jin_2024_healthy  samp1   data/bgz/GSM6125541_ovary1_snATAC-seq_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/jin_2024_ovary_healhty_youngVSaged
ovary_jin_2024_healthy  samp2   data/bgz/GSM6125542_ovary2_snATAC-seq_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/jin_2024_ovary_healhty_youngVSaged
ovary_jin_2024_healthy  samp3   data/bgz/GSM6125543_ovary3_snATAC-seq_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/jin_2024_ovary_healhty_youngVSaged
ovary_jin_2024_healthy  samp4   data/bgz/GSM6125544_ovary4_snATAC-seq_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/jin_2024_ovary_healhty_youngVSaged
ovary_jin_2024_healthy  samp5   data/bgz/GSM6125545_ovary5_snATAC-seq_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/jin_2024_ovary_healhty_youngVSaged
ovary_jin_2024_healthy  samp6   data/bgz/GSM6125546_ovary6_snATAC-seq_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/jin_2024_ovary_healhty_youngVSaged
ovary_jin_2024_healthy  samp7   data/bgz/GSM6125547_ovary7_snATAC-seq_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/jin_2024_ovary_healhty_youngVSaged
ovary_jin_2024_healthy  samp8   data/bgz/GSM6125548_ovary8_snATAC-seq_fragments.tsv.gz  /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/jin_2024_ovary_healhty_youngVSaged
pancrea_zhang_2021_healthy  samp1   fragments_standardized/bgz/Zhang2021-pancreatic_tissue-pancreas_SM-ADRUQ_1.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Zhang2021/Zhang2021-pancreatic_tissue/frags/Zhang2021/Zhang2021-pancreatic_tissue
pancrea_zhang_2021_healthy  samp2   fragments_standardized/bgz/Zhang2021-pancreatic_tissue-pancreas_SM-JF1NS_1.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Zhang2021/Zhang2021-pancreatic_tissue/frags/Zhang2021/Zhang2021-pancreatic_tissue
